Topografia,Utilizacao,Conservacao,Esgoto,Pavimentacao,Precom2,DistUTFPR,DistPC,Adequado
A,R,O,SIM,P,LOW,HIGH,HIGH,NAO
D,R,O,SIM,A,LOW,HIGH,MEDIUM,SIM
D,R,R,NAO,I,LOW,LOW,LOW,NAO
P,T,R,SIM,I,LOW,HIGH,HIGH,SIM
I,R,O,NAO,I,HIGH,LOW,LOW,NAO
A,C,M,SIM,I,HIGH,HIGH,MEDIUM,SIM
D,R,M,NAO,A,LOW,MEDIUM,MEDIUM,NAO
I,C,B,SIM,I,LOW,LOW,LOW,SIM
I,C,O,NAO,A,HIGH,LOW,LOW,NAO
D,T,B,SIM,P,HIGH,HIGH,MEDIUM,SIM
A,R,B,NAO,P,HIGH,HIGH,MEDIUM,NAO
P,T,M,SIM,P,LOW,LOW,LOW,SIM
A,T,M,SIM,P,HIGH,LOW,LOW,SIM
D,T,R,NAO,P,LOW,LOW,LOW,SIM
P,T,O,NAO,P,LOW,LOW,LOW,SIM
I,R,O,NAO,I,HIGH,LOW,LOW,NAO
A,T,B,SIM,I,LOW,LOW,LOW,SIM
I,T,M,NAO,P,LOW,LOW,LOW,NAO
D,R,R,NAO,I,LOW,LOW,LOW,NAO
P,R,M,SIM,P,LOW,LOW,LOW,NAO
I,R,R,NAO,A,LOW,LOW,LOW,NAO
P,T,M,SIM,A,HIGH,LOW,LOW,NAO
I,T,O,NAO,P,HIGH,LOW,LOW,SIM
D,R,R,SIM,A,HIGH,LOW,LOW,NAO
A,R,M,NAO,I,LOW,LOW,LOW,SIM
A,R,O,SIM,P,LOW,MEDIUM,LOW,NAO
A,C,O,NAO,A,HIGH,MEDIUM,MEDIUM,SIM
D,R,M,SIM,P,HIGH,MEDIUM,MEDIUM,NAO
I,R,O,NAO,A,HIGH,MEDIUM,MEDIUM,SIM
P,R,M,SIM,I,HIGH,MEDIUM,MEDIUM,NAO
